Trabajo;Desc. Actuación;SGT Plazo Legal Ejec.;Contador de plazo legal
918224040264.1;P.S.: SAN ILDEFONSO, 0003 MADRID;30;306
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;30;290
918224030070.1;P.S.: ASCENSION BIELSA, 15 MADRID;30;198
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;60;110
918223040369.1;P.S.: FERNANDEZ SHAW, 9 MADRID;30;84
918224090399.1;P.S.: PROV LOS BERROCALES 68, 25 MADRID;30;80
918225030015.1;P.S.: PALOMERAS, 19 MADRID;30;71
918224040227.1;P.S.: ZAZUAR, 15 MADRID;30;71
918224110294.1;P.S.: PUENTELARRA, 0014 MADRID;30;66
918223010355.1;P.S.: PUERTO DE MAGDALENA, 9 MADRID;30;61
918222080101.1;P.S.: SIERRA ARLA, 5 MADRID;30;61
918224090340.1;P.S.: CERRO DEL MURMULLO, 63 MADRID;80;51
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;30;50
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;30;49
918124110056.1;P.S.: AMOR DE DIOS, 6 MADRID;30;48
918221070021.1;P.S.: ALBUFERA, 319 MADRID;30;46
918224060020.1;P.S.: EL REAL DE SAN VICENTE, 27 MADRID;5;43
918225020202.1;P.S.: CONCEJAL VICTORINO GRANIZ, 143 MADRID;30;41
918222060366.1;P.S.: PRECIADOS, 28 MADRID;60;41
918224090326.1;P.S.: PROV LOS BERROCALES 71, 39 MADRID;30;39
918223110010.1;P.S.: VILLABLANCA, 34 MADRID;30;38
918223030202.1;P.S.: SECO, 13 MADRID;60;36
918224030277.1;P.S.: ISLA DE LUZON, 13 MADRID;80;34
918224090265.1;P.S.: CANARIAS, 51 MADRID;30;33
918224050298.1;P.S.: PROV AHIJONES-BERROCALES5, 62 MADRID;30;33
918224120188.1;P.S.: JOSE ESCOBAR Y SALIENTE, 50 MADRID;80;31
918224120147.1;P.S.: MONTE IGUELDO, 109 MADRID;30;31
918225040115.1;P.S.: JUAN ALVAREZ MENDIZABAL, 0005 MADRID;30;29
918224120098.1;P.S.: CERRO DE LA ALCAZABA, 3 MADRID;30;28
918224040269.1;P.S.: PEDRAFITA DO CEBREIRO, 1 MADRID;80;28
918225050196.1;P.S.: HACHERO, 17 MADRID;30;26
918225030049.1;P.S.: MAYORAZGO, 0 MADRID;30;25
918225030046.1;P.S.: MAYORAZGO, 0 MADRID;30;25
918224110061.1;P.S.: DE LA GAVIA, 0 MADRID;30;24
918224110376.1;P.S.: CIUDAD DE BARCELONA, 0122 MADRID;30;23
918225030432.1;P.S.: DIALOGO, 31 MADRID;30;22
918224100178.1;P.S.: VALDECULEBRAS, 33 MADRID;30;22
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;30;22
918222060364.1;P.S.: PRECIADOS, 28 MADRID;80;22
918225020341.1;P.S.: JUANA DOÑA, 5 MADRID;30;21
918223100278.1;P.S.: TOMAS BRETON, 57 MADRID;30;21
918225010377.1;P.S.: RIVAS, 9 MADRID;30;19
918225010193.1;P.S.: PARQUE, MADRID;30;18
918224040095.1;P.S.: ESPERANZA GARCIA, 7 MADRID;30;18
918225040213.1;P.S.: ALTO DE LA SARTENILLA, 56 MADRID;30;17
918224120045.1;P.S.: ESCALA, 19 MADRID;30;17
918224060351.1;P.S.: ANDALUCIA, 0012 MADRID;80;16
918224120137.1;P.S.: MANUEL NOGUEIRO, 3 MADRID;30;16
918225040370.1;P.S.: LICENCIADO VIDRIERAS, 19 MADRID;30;13
918225040245.1;P.S.: IGUALDAD, 18 MADRID;30;13
918225040237.1;P.S.: JOSE ESCOBAR Y SALIENTE, 49 MADRID;5;13
918224090056.1;P.S.: SIERRA DE LA DEMANDA, 63 MADRID;80;13
918225050024.1;P.S.: EMBAJADORES, 251 MADRID;30;12
918225040238.1;P.S.: VICTORIA KENT, 4 MADRID;30;12
918225040269.1;P.S.: PUENTE DEL ARZOBISPO, 68 MADRID;30;12
918225020370.1;P.S.: JAIME VERA, 58 MADRID;30;12
918224060105.1;P.S.: JUAN ANTONIO BARDEM, 19 MADRID;80;12
918123090178.1;P.S.: MADRAZO, 9 MADRID;80;12
918225040349.1;P.S.: JUAN TORNERO, 50 MADRID;30;11
918225040268.1;P.S.: PUENTE DEL ARZOBISPO, 62 MADRID;30;11
918224090092.1;P.S.: SECO, 13 MADRID;30;9
918224120229.1;P.S.: VIRGEN DEL PUERTO, 7 MADRID;30;9
918224120094.1;P.S.: MAYORAZGO, 14 MADRID;30;9
918224120044.1;P.S.: PONT DE MOLINS, 11 MADRID;30;9
918225040209.1;P.S.: SANTA MARIA SOLEDAD T. ACO 0002 MADRID;30;8
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;80;8
918224090173.1;P.S.: LAS SANTERAS, 51 MADRID;80;8
918223110096.1;P.S.: TOMAS BRETON, 57 MADRID;30;6
918224080008.1;P.S.: PUERTA DE MOROS, 0008 MADRID;30;5
918225030368.1;P.S.: ANCORA, 29 MADRID;30;3
918225010101.1;P.S.: LOS ROSALES, 120 MADRID;30;3
918124110249.1;P.S.: RUIZ DE ALARCON, 5 MADRID;30;3
918224120259.1;P.S.: MENDEZ ALVARO, 36 MADRID;30;1
918224010020.1;P.S.: CAVA ALTA, 36 MADRID;30;1
918223120146.1;P.S.: CARTAGENA DE INDIAS, 50 MADRID;60;0
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;80;0
