Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones;SGT Plazo Legal Ejec.
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;REPROGRAMAR;82;26;80
918123090178.1;P.S.: MADRAZO, 9 MADRID;REPROGRAMADO;86;16;80
918125010313.1;P.S.: REYES, 0008 MADRID;REPROGRAMAR;52;5;30
918221070204.1;P.S.: ILUSION, 41 MADRID;PROGRAMADO;4;3;60
918221090369.1;P.S.: MIGUEL DELIBES, 65 MADRID;REPROGRAMADO;6;5;60
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;0;1;80
918222020240.1;P.S.: SEGOVIA, 15 MADRID;PROGRAMADO;2;24;60
918222030441.1;P.S.: SANTA JULIA, 46 MADRID;REPROGRAMAR;71;1;30
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;312;;30
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;124;6;30
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;REPROGRAMAR;62;3;30
918223070161.1;P.S.: UZP0103 ENSANCHE VALLECAS, 49 MADRID;REPROGRAMADO;28;;30
918223090047.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMADO;70;2;30
918223100217.1;P.S.: ABTAO, 48 MADRID;REPROGRAMAR;0;10;30
918224010020.1;P.S.: CAVA ALTA, 36 MADRID;REPROGRAMADO;10;8;30
918224010062.1;P.S.: VILLAVERDE A PERALES RIO, 13 MADRID;EJECUTABLE;0;6;60
918224010451.1;P.S.: PIROTECNIA, 47 MADRID;REPROGRAMADO;41;16;80
918224020192.1;P.S.: UZP0103 ENSANCHE VALLECAS, 270 MADRID;REPROGRAMAR;25;19;30
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;22;1;30
918224020465.1;P.S.: VALERIA, 7 MADRID;REPROGRAMADO;55;16;30
918224030088.1;P.S.: TELLEZ, 2 MADRID;REPROGRAMADO;48;6;80
