Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;EJECUTADO;44;26
918123090178.1;P.S.: MADRAZO, 9 MADRID;EJECUTADO;48;16
918124110249.1;P.S.: RUIZ DE ALARCON, 5 MADRID;EJECUTADO;9;4
918125010313.1;P.S.: REYES, 0008 MADRID;REPROGRAMADO;14;4
918221100285.1;P.S.: MARROQUINA, 71 MADRID;EJECUTABLE;0;2
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;0;1
918222030441.1;P.S.: SANTA JULIA, 46 MADRID;REPROGRAMADO;33;1
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;165;
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;86;6
918223020629.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMAR;27;7
918223030202.1;P.S.: SECO, 13 MADRID;REPROGRAMADO;72;
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;REPROGRAMAR;24;3
918223070293.1;P.S.: CUARENTA Y CINCO MERCAMAD, 8 MADRID;PROGRAMADO;14;16
918223090047.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMAR;32;2
918223090096.1;P.S.: JUANA DOÑA, 5 MADRID;REPROGRAMADO;22;9
918223100217.1;P.S.: ABTAO, 48 MADRID;REPROGRAMAR;0;9
918223110096.1;P.S.: TOMAS BRETON, 57 MADRID;REPROGRAMADO;42;5
918224010020.1;P.S.: CAVA ALTA, 36 MADRID;REPROGRAMADO;37;8
918224010110.1;P.S.: LUIS OCAÑA, 2 MADRID;PROGRAMADO;0;6
918224010451.1;P.S.: PIROTECNIA, 47 MADRID;PROGRAMADO;3;16
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;287;1
918224020465.1;P.S.: VALERIA, 7 MADRID;REPROGRAMAR;17;15
918224030088.1;P.S.: TELLEZ, 2 MADRID;PROGRAMADO;10;6
918224030156.1;P.S.: VICALVARO ESTAC O'DONNELL, 21 MADRID;REPROGRAMADO;4;1
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;EJECUTADO;49;5
918224030398.1;P.S.: FUENTESPINA, 17 MADRID;REPROGRAMADO;2;1
918224040227.1;P.S.: ZAZUAR, 15 MADRID;REPROGRAMAR;107;1
918224040232.1;P.S.: PUENTE DEL ARZOBISPO, 42 MADRID;REPROGRAMADO;0;
918224040269.1;P.S.: PEDRAFITA DO CEBREIRO, 1 MADRID;REPROGRAMAR;64;2
918224050298.1;P.S.: PROV AHIJONES-BERROCALES5, 62 MADRID;EJECUTADO;48;5
918224060250.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMADO;22;2
918224060331.1;P.S.: PIROTECNIA, 83 MADRID;EJECUTABLE;2;3
918224060351.1;P.S.: ANDALUCIA, 0012 MADRID;REPROGRAMAR;52;13
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;146;6
918224070251.1;P.S.: INDALECIO PRIETO, 2 MADRID;REPROGRAMAR;30;21
918224080008.1;P.S.: PUERTA DE MOROS, 0008 MADRID;EJECUTADO;5;
918224090092.1;P.S.: SECO, 13 MADRID;EJECUTADO;9;1
918224090173.1;P.S.: LAS SANTERAS, 51 MADRID;REPROGRAMADO;44;3
918224090265.1;P.S.: CANARIAS, 51 MADRID;REPROGRAMAR;5;8
918224090340.1;P.S.: CERRO DEL MURMULLO, 63 MADRID;PROGRAMADO;87;6
918224090399.1;P.S.: PROV LOS BERROCALES 68, 25 MADRID;REPROGRAMAR;116;4
918224090415.1;P.S.: POZO DEL TIO RAIMUNDO, 11 MADRID;EJECUTADO;1;13
918224110376.1;P.S.: CIUDAD DE BARCELONA, 0122 MADRID;EJECUTADO;23;2
918224120043.1;P.S.: ESCALA, 8 MADRID;REPROGRAMADO;28;5
918224120044.1;P.S.: PONT DE MOLINS, 11 MADRID;REPROGRAMADO;2;4
918224120089.1;P.S.: SERRANILLOS DEL VALLE, 25 MADRID;REPROGRAMADO;7;2
918224120118.1;P.S.: UCEDA, 54 MADRID;REPROGRAMAR;34;2
918224120213.1;P.S.: ENCARNACION OVIOL, 19 MADRID;REPROGRAMADO;15;1
918224120259.1;P.S.: MENDEZ ALVARO, 36 MADRID;REPROGRAMAR;37;2
918225010003.1;P.S.: POZO DEL TIO RAIMUNDO, 25 MADRID;EJECUTADO;21;2
918225010004.1;P.S.: TINEO, 2 MADRID;REPROGRAMADO;0;2
918225010135.1;P.S.: RAFAEL DE RIEGO, 0038 MADRID;EJECUTADO;5;
918225010260.1;P.S.: MÉNDEZ ÁLVARO, 3 MADRID;PROGRAMADO;3;7
918225010439.1;P.S.: DEMOCRACIA, 2 MADRID;PROGRAMADO;2;
918225020200.1;P.S.: ALBUFERA, 248 MADRID;REPROGRAMADO;0;
918225020202.1;P.S.: CONCEJAL VICTORINO GRANIZ, 143 MADRID;EJECUTADO;77;1
918225020249.1;P.S.: FERENC PUSKAS, 219 MADRID;EJECUTADO;14;6
918225020341.1;P.S.: JUANA DOÑA, 5 MADRID;EJECUTADO;21;
918225020370.1;P.S.: JAIME VERA, 58 MADRID;REPROGRAMADO;48;4
918225040209.1;P.S.: SANTA MARIA SOLEDAD T. ACO 0002 MADRID;EJECUTADO;11;1
918225040213.1;P.S.: ALTO DE LA SARTENILLA, 56 MADRID;EJECUTADO;32;7
918225040238.1;P.S.: VICTORIA KENT, 4 MADRID;REPROGRAMAR;7;1
918225040239.1;P.S.: MARIO MORENO CANTINFLAS, 24 MADRID;REPROGRAMADO;0;2
918225040243.1;P.S.: VICTORIA KENT, 85 MADRID;PROGRAMADO;0;2
918225040349.1;P.S.: JUAN TORNERO, 50 MADRID;EJECUTADO;26;3
918225040370.1;P.S.: LICENCIADO VIDRIERAS, 19 MADRID;REPROGRAMADO;16;3
918225050139.1;P.S.: O'DONNELL, 0005 MADRID;REPROGRAMADO;9;
918225050172.1;P.S.: ARTE ABSTRACTO, 6 MADRID;REPROGRAMADO;4;2
918225050264.1;P.S.: PUERTA DEL SOL, 0011 MADRID;REPROGRAMADO;20;5
918225050272.1;P.S.: POSTIGO DE SAN MARTIN, 0005 MADRID;REPROGRAMADO;22;
918225050282.1;P.S.: IGUALDAD, 121 MADRID;REPROGRAMADO;25;5
918225050330.1;P.S.: VICTORIA KENT, 5 MADRID;PROGRAMADO;0;2
918225050377.1;P.S.: CONCILIACION, 7 MADRID;REPROGRAMADO;5;3
918225060319.1;P.S.: ALTO DE LA SARTENILLA, 58 MADRID;EJECUTADO;21;
918225060379.1;P.S.: RAFAEL ALBERTI, 22 MADRID;EJECUTADO;22;4
918225060438.1;P.S.: MANUEL MAROTO, 0008 MADRID;PROGRAMADO;3;3
918225070400.1;P.S.: BARIO, 2 MADRID;REPROGRAMADO;12;2
918225080007.1;P.S.: SIERRA DE MEIRA, 29 MADRID;PROGRAMADO;1;
